folder,frame_count,crop_size,radius_px,autocorr_mean,autocorr_norm
5,128,512,66,0.0025780956188287685,0.0010279194929198987
5,128,512,67,0.001888392255488982,0.0007529259952654312
5,128,512,68,0.001044025567189866,0.00041626626405298373
5,128,512,69,0.00045308831791185795,0.0001806520714726137
5,128,512,70,-0.0003932402558713376,-0.00015678988841949697
5,128,512,71,-0.001298209458844896,-0.0005176126125399126
5,128,512,72,-0.0022153889292572376,-0.0008833037254906047
5,128,512,73,-0.003309249817733977,-0.0013194399655881448
5,128,512,74,-0.004202071933989583,-0.0016754194918347574
5,128,512,75,-0.005080497753292214,-0.0020256590314975723
5,128,512,76,-0.005934642086830704,-0.002366217234148784
5,128,512,77,-0.006203178844725034,-0.0024732862528419296
5,128,512,78,-0.0069875252095689495,-0.0027860151181856446
5,128,512,79,-0.006968593174698782,-0.0027784666752413423
5,128,512,80,-0.007418865208252206,-0.002957995858342983
5,128,512,81,-0.007381674566017979,-0.0029431674765608754
5,128,512,82,-0.006911712671959357,-0.0027557876958016654
5,128,512,83,-0.0068643329352742295,-0.0027368967925503035
5,128,512,84,-0.006499314902211442,-0.002591359463091989
5,128,512,85,-0.006255116014466281,-0.0024939942625814486
5,128,512,86,-0.005986310527013122,-0.0023868180979974268
5,128,512,87,-0.005570516079830217,-0.0022210355668198863
5,128,512,88,-0.005051112802675,-0.002013942878179859
5,128,512,89,-0.005267437814112866,-0.002100194409907035
5,128,512,90,-0.0045904595985385484,-0.001830274590413641
5,128,512,91,-0.0043428592886963656,-0.0017315531996781755
5,128,512,92,-0.004192944353991528,-0.0016717802096705649
5,128,512,93,-0.0036649515604141787,-0.0014612627716532915
5,128,512,94,-0.004054962977117768,-0.0016167652808554347
5,128,512,95,-0.00336444660656928,-0.0013414476268928746
5,128,512,96,-0.0034301618765665183,-0.0013676491403353213
5,128,512,97,-0.003251785109841177,-0.0012965280561280945
5,128,512,98,-0.0025342123109492513,-0.0010104226602757884
5,128,512,99,-0.0032016826814185583,-0.0012765515810733675
5,128,512,100,-0.0024780666865751827,-0.000988036686181281
5,128,512,101,-0.002814015799239106,-0.0011219838675869394
5,128,512,102,-0.002457938954542505,-0.0009800115035800024
5,128,512,103,-0.0022733170268646966,-0.0009064003943199498
5,128,512,104,-0.002558581130119561,-0.001020138818226509
5,128,512,105,-0.00181513584548445,-0.0007237177334480513
5,128,512,106,-0.002365898052908059,-0.0009433136261836039
