folder,lag,brightness_bin,brightness_low,brightness_high,pixel_count,residual_correlation_mean,residual_correlation_max_abs
5,100,0,1219.3599853515625,1417.3599853515625,32762,-0.0008956100212113056,0.04089125039102117
5,100,1,1417.3599853515625,1533.5999755859375,32759,-0.0048863987667548915,0.0455185531809441
5,100,2,1533.5999755859375,1710.6400146484375,32774,-0.002558679610884002,0.04296812818376116
5,100,3,1710.6400146484375,1950.3199462890625,32772,-0.006025367535199176,0.05369041639838428
5,100,4,1950.3199462890625,4547.759765625,32772,-0.19014005022856048,0.3559126294345844
5,100,5,4547.759765625,8809.22021484375,32769,-0.1697129639585211,0.29504658302704984
5,100,6,8809.22021484375,10830.7197265625,32767,-0.03845352818624023,0.10116679937372296
5,100,7,10830.7197265625,14949.51953125,32769,-0.014481351389194867,0.07394898672459248
7,1,0,1024.1600341796875,1147.280029296875,32726,-0.003741612199250467,0.05908629286229069
7,1,1,1147.280029296875,1198.719970703125,32741,0.004521044545619065,0.044471620135442536
7,1,2,1198.719970703125,1266.800048828125,32835,0.0020923414443559407,0.039254989368979455
7,1,3,1266.800048828125,1386.719970703125,32764,-0.0022887820346339585,0.05279911408461492
7,1,4,1386.719970703125,2356.3500061035156,32774,0.12804604887714902,0.38812904980163415
7,1,5,2356.3500061035156,3817.47998046875,32768,0.11900191654270272,0.36719623906917004
7,1,6,3817.47998046875,5308.0,32766,0.04282762571891526,0.1388568223084376
7,1,7,5308.0,6838.47998046875,32770,0.004082275892224365,0.048915442477583976
7,8,0,1024.1600341796875,1147.280029296875,32726,0.005041433509996762,0.03846725964031981
7,8,1,1147.280029296875,1198.719970703125,32741,0.0037403927897112,0.049243792168892055
7,8,2,1198.719970703125,1266.800048828125,32835,-0.0051073227500148645,0.04173159406719829
7,8,3,1266.800048828125,1386.719970703125,32764,0.0037144142248285617,0.04585519956022225
7,8,4,1386.719970703125,2356.3500061035156,32774,0.1187457044129992,0.315124264316549
7,8,5,2356.3500061035156,3817.47998046875,32768,0.11249291855243047,0.31377934437561344
7,8,6,3817.47998046875,5308.0,32766,0.03874161926252124,0.16689157101901322
7,8,7,5308.0,6838.47998046875,32770,-0.004060228378275227,0.04762861306805353
7,32,0,1024.1600341796875,1147.280029296875,32726,6.456796242462297e-05,0.04489999009655495
7,32,1,1147.280029296875,1198.719970703125,32741,0.00038102270215721254,0.057204192935495
7,32,2,1198.719970703125,1266.800048828125,32835,-0.01428984352116807,0.05477260345689433
7,32,3,1266.800048828125,1386.719970703125,32764,-0.001871546664751798,0.04202826498510468
7,32,4,1386.719970703125,2356.3500061035156,32774,0.08556008986712609,0.2703548087431565
7,32,5,2356.3500061035156,3817.47998046875,32768,0.07633018177766897,0.24576145634735877
7,32,6,3817.47998046875,5308.0,32766,0.03970044274574117,0.10002978313526023
7,32,7,5308.0,6838.47998046875,32770,-0.004991294290535499,0.05160302557504293
7,100,0,1024.1600341796875,1147.280029296875,32726,-0.003064486527449605,0.05222531041194941
7,100,1,1147.280029296875,1198.719970703125,32741,-0.008638641616954433,0.050980002136504846
7,100,2,1198.719970703125,1266.800048828125,32835,-0.004584850133437517,0.05246985456445322
7,100,3,1266.800048828125,1386.719970703125,32764,-0.005975450990723427,0.027962610528171405
7,100,4,1386.719970703125,2356.3500061035156,32774,-0.07548240315089266,0.14436240848564916
7,100,5,2356.3500061035156,3817.47998046875,32768,-0.0690549687278414,0.13555855203920225
7,100,6,3817.47998046875,5308.0,32766,-0.020781602684262556,0.06224676618367584
7,100,7,5308.0,6838.47998046875,32770,-0.007538812137427679,0.05390249258571994
8,1,0,1002.6400146484375,1108.800048828125,32765,-0.0013060682855111736,0.05128210447462078
8,1,1,1108.800048828125,1150.8800048828125,32727,0.002837794281168557,0.04719116128318376
8,1,2,1150.8800048828125,1207.280029296875,32790,-0.009551875382815616,0.06881627007630343
8,1,3,1207.280029296875,1306.6799926757812,32790,-0.003555595366340603,0.07583170477492324
8,1,4,1306.6799926757812,2109.840087890625,32765,0.06941537338626645,0.23858960139399593
8,1,5,2109.840087890625,3325.199951171875,32769,0.07424514861458374,0.19138294932699368
8,1,6,3325.199951171875,4570.809814453125,32770,0.02811305199703611,0.10676870600075125
8,1,7,4570.809814453125,5846.56005859375,32768,-0.01109381888064632,0.040101123036075194
8,8,0,1002.6400146484375,1108.800048828125,32765,-0.010419370051883014,0.06614892940662492
8,8,1,1108.800048828125,1150.8800048828125,32727,-0.006023331422264028,0.049408403473524425
8,8,2,1150.8800048828125,1207.280029296875,32790,0.003463283130116844,0.06485398709976216
8,8,3,1207.280029296875,1306.6799926757812,32790,-0.0009377480280675275,0.04290419763920665
8,8,4,1306.6799926757812,2109.840087890625,32765,0.0649248684176524,0.1781908264180609
8,8,5,2109.840087890625,3325.199951171875,32769,0.0684203473965467,0.2053165120271023
8,8,6,3325.199951171875,4570.809814453125,32770,0.015233365645593203,0.09072813583547083
8,8,7,4570.809814453125,5846.56005859375,32768,-0.003591897482959651,0.0382854706793536
8,32,0,1002.6400146484375,1108.800048828125,32765,9.383868468031507e-05,0.050615974432679026
8,32,1,1108.800048828125,1150.8800048828125,32727,-0.005582238424836453,0.06754864095616817
8,32,2,1150.8800048828125,1207.280029296875,32790,-0.0009051292705429567,0.03542734291443154
8,32,3,1207.280029296875,1306.6799926757812,32790,0.007314388211697568,0.0518255409650447
8,32,4,1306.6799926757812,2109.840087890625,32765,0.043912956943325594,0.13649476969453747
8,32,5,2109.840087890625,3325.199951171875,32769,0.04690565630546462,0.12881331917943678
