variant,seed,reference,folder,pair_count,positive_pair_fraction,psnr_gain,ssim,ssim_gain,gradient_ratio_to_noisy,residual_std,brightness_bias_to_reference
H-L,20260716,reference_a_odd,11,8,0.0,-2.885722086546134,0.997558111293013,-0.0013966958698156395,0.2940878161432385,0.0013227436575107276,-9.471199064137181e-05
H-L,20260716,reference_a_odd,13,8,0.0,-6.380419746636621,0.9970029866650741,-0.0025558312897547564,0.052544867435674485,0.00022511558017868083,0.001261716111912392
H-L,20260716,reference_b_even,1,8,0.0,-0.8218483218074022,0.9975896607841457,-0.0005274817021202333,0.42007890059676384,0.0013622454134747386,-0.00040808941776049323
H-L,20260716,reference_b_even,2,8,0.0,-2.8692697728388694,0.9983175845718986,-0.00110787064911759,0.04338191869913205,0.0004924862732877955,0.0008401142549701035
H-L,20260716,reference_b_even,4,8,0.0,-0.5000299089357814,0.9952093123884536,-0.00031901769008647884,0.7378745862617262,0.0020015967602375895,-0.0008395367185585201
H-L,20260716,reference_b_even,5,8,0.0,-0.24382737709654378,0.9831765718061691,-0.0006295192613842843,0.9707540606892123,0.004626889596693218,-0.001323732765740715
H-L,20260716,reference_b_even,7,8,0.0,-0.6289613864445824,0.9910121630418004,-0.0012740240640661538,0.8582289786302536,0.0027329259319230914,-0.0012750860914820805
H-L,20260716,reference_b_even,8,8,0.0,-0.6718103411673377,0.9925304677084938,-0.0010636224535523764,0.8182683436624607,0.002378862671321258,-0.001201328675961122
H-L,20260716,reference_b_even,9,8,0.0,-0.40751977839064146,0.997226878210635,-0.00013493027295775895,0.6381661909719638,0.0015367716405307874,-0.0004537604982033372
H-L,20260716,reference_b_even,10,8,0.0,-1.1503059698507565,0.9977022822526459,-0.0006080140160526631,0.5006672916679141,0.0013717624387936667,-0.00020599311210389715
H-L,20260716,reference_b_even,11,8,0.0,-2.8753668420379315,0.9975614706734827,-0.0013941665352574378,0.2940878161432385,0.0013212010526331142,-8.917073864722624e-05
H-L,20260716,reference_b_even,13,8,0.0,-6.459234496631447,0.9969413114597601,-0.002616366443068688,0.052544867435674485,0.00022493059077532962,0.0012745915882987902
H-L,20260717,reference_a_odd,1,8,0.0,-2.152696504604683,0.9968769917828737,-0.001227569443961199,0.44302103864709536,0.0015079567674547434,-0.0006999364850344136
H-L,20260717,reference_a_odd,2,8,0.0,-1.593859556571915,0.998750344245765,-0.0006768765955582207,0.03421519580110939,0.0004831892547372263,0.0006871896039228886
H-L,20260717,reference_a_odd,4,8,0.0,-1.8229819791014883,0.9944408966590397,-0.0010822967497868125,0.7397589204029504,0.0021254596940707415,-0.0013719583803322166
H-L,20260717,reference_a_odd,5,8,0.0,-0.9061933966291118,0.9812657039499741,-0.002521787617566204,0.9940131676461391,0.004661785555072129,-0.0023101776314433664
H-L,20260717,reference_a_odd,7,8,0.0,-1.5541698926988596,0.9898446320421328,-0.0024397383776636056,0.8762512968305759,0.0027481075667310506,-0.001927952907863073
H-L,20260717,reference_a_odd,8,8,0.0,-1.7224881213816143,0.9915446454679795,-0.0020459277181153063,0.830584884882056,0.0024146405048668385,-0.0018000420677708462
H-L,20260717,reference_a_odd,9,8,0.0,-2.344762299622535,0.9962548642559554,-0.0011053983699216563,0.6552121951477726,0.001760384053341113,-0.0009568872046656907
H-L,20260717,reference_a_odd,10,8,0.0,-3.1942170731608925,0.9967016700933008,-0.0016099796623967322,0.5547682834560719,0.0016420104511780664,-0.0006185386519064195
H-L,20260717,reference_a_odd,11,8,0.0,-3.8326954987936563,0.997111449194727,-0.001843357968101575,0.3450046588808172,0.0014423925604205579,-0.0003266836683906149
H-L,20260717,reference_a_odd,13,8,0.0,-5.211288542898418,0.997701309714657,-0.0018575082401719872,0.03658324829003315,0.00021764014672953635,0.001098868204280734
H-L,20260717,reference_b_even,1,8,0.0,-2.1690315349907863,0.9968862204226646,-0.0012309220636013835,0.44302103864709536,0.0015039104473544285,-0.0007024349251878448
H-L,20260717,reference_b_even,2,8,0.0,-1.4820005313244815,0.9987820479366147,-0.0006434072844014316,0.03421519580110939,0.00048343172966269776,0.0006747358929715119
H-L,20260717,reference_b_even,4,8,0.0,-1.8363661082293339,0.9944362965518055,-0.0010920335267344816,0.7397589204029504,0.002123681071680039,-0.0013779670844087377
H-L,20260717,reference_b_even,5,8,0.0,-0.9049333670173345,0.9813010238353594,-0.0025050672321939443,0.9940131676461391,0.004651364986784756,-0.002301996370078996
